number,incident_state,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,contact_type,location,category,subcategory,u_symptom,impact,urgency,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,caused_by,closed_code,resolved_by,opened_at,sys_updated_at,closed_at,final_resolved_at,resolution_time_hours,aging_days,priority,sla_breach_flag,created_month,is_active
INC0000087,New,0,0,0,true,Caller 950,Opened by  180,Phone,Location 69,Category 53,Subcategory 194,?,2 - Medium,2 - Medium,Group 54,?,true,false,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,29-02-2016 08:47,29-02-2016 08:56,07-03-2016 15:00,02-03-2016 14:46,53.98333333,2,3,1,2016-02,1
INC0000088,New,0,0,0,true,Caller 388,Opened by  180,Phone,Location 93,Category 42,Subcategory 224,Symptom 4,2 - Medium,2 - Medium,Group 70,?,true,false,Do Not Notify,?,?,?,code 6,Resolved by 85,29-02-2016 08:48,29-02-2016 08:48,05-03-2016 10:00,29-02-2016 09:05,0.283333333,0,3,0,2016-02,1
INC0000089,Active,0,0,0,true,Caller 4907,Opened by  180,Phone,Location 108,Category 42,Subcategory 106,Symptom 2,2 - Medium,3 - Low,Group 68,Resolver 97,true,false,Do Not Notify,?,?,?,code 1,Resolved by 197,29-02-2016 08:51,29-02-2016 09:03,08-03-2016 15:00,03-03-2016 14:35,77.73333333,3,4,1,2016-02,1
INC0000092,Active,0,0,0,true,Caller 1811,Opened by  40,Phone,Location 172,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,Group 27,?,true,false,Do Not Notify,?,?,?,code 5,Resolved by 99,29-02-2016 08:55,29-02-2016 08:55,12-03-2016 09:00,07-03-2016 08:45,167.8333333,6,3,1,2016-02,1
INC0000093,Resolved,0,0,0,true,Caller 3545,Opened by  131,Phone,Location 93,Category 61,Subcategory 164,Symptom 580,2 - Medium,2 - Medium,Group 70,?,true,false,Do Not Notify,?,?,?,code 7,Resolved by 66,29-02-2016 08:56,29-02-2016 08:56,05-03-2016 10:00,05-03-2016 10:00,121.0666667,5,3,1,2016-02,1
INC0000094,Active,0,0,0,true,Caller 387,Opened by  433,Phone,Location 204,Category 45,Subcategory 220,?,3 - Low,3 - Low,Group 66,Resolver 193,true,false,Do Not Notify,?,?,?,code 6,Resolved by 184,29-02-2016 08:58,29-02-2016 08:58,24-03-2016 18:50,10-03-2016 10:45,241.7833333,10,4,1,2016-02,1
INC0000098,New,0,0,0,true,Caller 4043,Opened by  24,Phone,Location 108,Category 20,Subcategory 125,Symptom 471,2 - Medium,2 - Medium,Group 70,?,true,false,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,29-02-2016 09:02,29-02-2016 09:08,07-03-2016 15:00,02-03-2016 14:51,53.81666667,2,3,1,2016-02,1
INC0000099,New,0,0,0,true,Caller 5410,Opened by  180,Phone,Location 51,Category 24,Subcategory 164,Symptom 529,2 - Medium,2 - Medium,Group 70,Resolver 201,true,false,Do Not Notify,?,?,?,code 8,Resolved by 183,29-02-2016 09:03,29-02-2016 09:06,06-03-2016 10:00,01-03-2016 09:05,24.03333333,1,3,1,2016-02,1
INC0000100,Active,0,0,0,true,Caller 3082,Opened by  40,Phone,Location 161,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,Group 54,?,true,false,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,29-02-2016 09:05,29-02-2016 09:11,07-03-2016 15:00,02-03-2016 14:53,53.8,2,3,1,2016-02,1
INC0000101,New,0,0,0,true,Caller 1892,Opened by  180,Phone,Location 143,Category 42,Subcategory 224,Symptom 560,2 - Medium,3 - Low,Group 65,Resolver 180,true,false,Do Not Notify,?,?,?,code 6,Resolved by 163,29-02-2016 09:05,29-02-2016 09:13,05-03-2016 12:00,29-02-2016 11:00,1.916666667,0,4,0,2016-02,1
INC0000102,New,0,0,0,true,Caller 307,Opened by  131,Phone,Location 46,Category 37,Subcategory 135,Symptom 87,2 - Medium,2 - Medium,Group 70,Resolver 31,true,false,Do Not Notify,?,?,?,code 4,Resolved by 30,29-02-2016 09:06,29-02-2016 09:13,24-03-2016 18:59,17-03-2016 16:28,415.3666667,17,3,1,2016-02,1
INC0000103,New,0,0,0,true,Caller 4375,Opened by  180,Phone,Location 108,Category 53,Subcategory 194,?,2 - Medium,2 - Medium,Group 54,?,true,false,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,29-02-2016 09:07,29-02-2016 09:10,07-03-2016 15:00,02-03-2016 14:54,53.78333333,2,3,1,2016-02,1
INC0000104,New,0,0,0,true,Caller 5180,Opened by  180,Phone,Location 51,Category 26,Subcategory 175,Symptom 311,2 - Medium,2 - Medium,Group 70,Resolver 201,true,false,Do Not Notify,?,?,?,code 6,Resolved by 183,29-02-2016 09:08,29-02-2016 09:17,06-03-2016 12:00,01-03-2016 11:55,26.78333333,1,3,1,2016-02,1
INC0000105,New,0,0,0,true,Caller 2949,Opened by  180,Phone,Location 93,Category 45,Subcategory 223,?,2 - Medium,2 - Medium,Group 70,?,true,false,Do Not Notify,?,?,?,code 9,Resolved by 77,29-02-2016 09:10,29-02-2016 09:13,05-03-2016 12:00,29-02-2016 11:58,2.8,0,3,0,2016-02,1
INC0000110,Active,0,0,0,true,Caller 5540,Opened by  40,Phone,Location 108,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,Group 54,?,true,false,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,29-02-2016 09:13,29-02-2016 09:19,07-03-2016 15:00,02-03-2016 14:55,53.7,2,3,1,2016-02,1
INC0000111,New,0,0,0,true,Caller 4325,Opened by  180,Phone,Location 93,Category 53,Subcategory 130,Symptom 470,2 - Medium,2 - Medium,Group 54,?,true,false,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,29-02-2016 09:14,29-02-2016 09:19,07-03-2016 15:00,02-03-2016 14:56,53.7,2,3,1,2016-02,1
INC0000112,New,0,0,0,true,Caller 521,Opened by  131,Phone,Location 93,Category 37,Subcategory 135,Symptom 87,2 - Medium,2 - Medium,Group 70,Resolver 215,true,false,Do Not Notify,?,?,?,code 7,Resolved by 196,29-02-2016 09:15,29-02-2016 09:18,07-03-2016 16:00,02-03-2016 15:13,53.96666667,2,3,1,2016-02,1
INC0000113,New,0,0,0,true,Caller 1658,Opened by  24,Phone,Location 204,Category 55,Subcategory 23,?,2 - Medium,2 - Medium,Group 25,Resolver 227,true,false,Do Not Notify,?,?,?,code 6,Resolved by 206,29-02-2016 09:18,29-02-2016 09:19,07-03-2016 20:00,02-03-2016 19:30,58.2,2,3,1,2016-02,1
INC0000114,New,0,0,0,true,Caller 4554,Opened by  180,Phone,Location 161,Category 53,Subcategory 194,?,2 - Medium,2 - Medium,Group 54,?,true,false,Do Not Notify,?,?,?,code 7,Resolved by 174,29-02-2016 09:18,29-02-2016 09:18,08-03-2016 02:00,03-03-2016 01:18,64,2,3,1,2016-02,1
INC0000115,New,0,0,0,true,Caller 5494,Opened by  131,Phone,Location 161,Category 9,Subcategory 164,Symptom 607,2 - Medium,2 - Medium,Group 70,Resolver 89,true,false,Do Not Notify,?,?,?,code 9,Resolved by 81,29-02-2016 09:20,29-02-2016 09:31,06-03-2016 09:00,01-03-2016 08:50,23.5,0,3,0,2016-02,1
INC0000116,New,0,0,0,true,Caller 1488,Opened by  180,Phone,Location 108,Category 37,Subcategory 135,Symptom 529,2 - Medium,2 - Medium,Group 27,?,true,false,Do Not Notify,?,?,?,code 6,Resolved by 106,29-02-2016 09:20,29-02-2016 09:23,06-03-2016 13:00,01-03-2016 12:02,26.7,1,3,1,2016-02,1
INC0000119,New,0,0,0,true,Caller 3842,Opened by  180,Phone,Location 161,Category 9,Subcategory 164,Symptom 471,2 - Medium,2 - Medium,Group 24,Resolver 89,true,false,Do Not Notify,?,?,?,code 9,Resolved by 81,29-02-2016 09:22,29-02-2016 09:31,06-03-2016 10:00,01-03-2016 09:03,23.68333333,0,3,0,2016-02,1
INC0000121,Active,0,0,0,true,Caller 1932,Opened by  40,Phone,Location 93,Category 53,Subcategory 271,Symptom 471,2 - Medium,2 - Medium,Group 23,?,true,false,Do Not Notify,?,?,?,code 7,Resolved by 62,29-02-2016 09:25,29-02-2016 09:28,05-03-2016 17:00,29-02-2016 16:31,7.1,0,3,0,2016-02,1
INC0000122,New,0,0,0,true,Caller 3113,Opened by  24,Phone,Location 44,Category 45,Subcategory 47,Symptom 159,2 - Medium,2 - Medium,Group 70,?,true,false,Do Not Notify,?,?,?,code 3,Resolved by 139,29-02-2016 09:27,29-02-2016 09:34,06-03-2016 17:00,01-03-2016 16:50,31.38333333,1,3,1,2016-02,1
INC0000123,New,0,0,0,true,Caller 4428,Opened by  180,Phone,Location 108,Category 53,Subcategory 194,Symptom 470,2 - Medium,2 - Medium,Group 54,?,true,false,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,29-02-2016 09:29,29-02-2016 09:38,07-03-2016 15:00,02-03-2016 14:56,53.45,2,3,1,2016-02,1
INC0000124,Active,0,0,0,true,Caller 4907,Opened by  40,Phone,Location 108,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,Group 33,Resolver 159,true,false,Do Not Notify,?,?,?,code 7,Resolved by 143,29-02-2016 09:30,29-02-2016 09:39,05-03-2016 12:00,29-02-2016 11:05,1.583333333,0,3,0,2016-02,1
INC0000125,New,0,0,0,true,Caller 154,Opened by  131,Phone,Location 108,Category 9,Subcategory 164,Symptom 607,2 - Medium,2 - Medium,Group 70,Resolver 170,true,false,Do Not Notify,Problem ID  2,?,?,code 11,Resolved by 153,29-02-2016 09:31,29-02-2016 09:35,06-03-2016 09:00,01-03-2016 08:32,23.01666667,0,3,0,2016-02,1
INC0000126,New,0,0,0,true,Caller 3754,Opened by  180,Phone,Location 142,Category 53,Subcategory 127,Symptom 470,2 - Medium,2 - Medium,Group 54,?,true,false,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,29-02-2016 09:31,29-02-2016 09:42,07-03-2016 15:00,02-03-2016 14:57,53.43333333,2,3,1,2016-02,1
INC0000128,New,0,0,0,true,Caller 4539,Opened by  131,Phone,Location 36,Category 44,Subcategory 54,Symptom 4,2 - Medium,2 - Medium,Group 12,Resolver 99,true,false,Do Not Notify,?,?,?,code 6,Resolved by 89,29-02-2016 09:36,29-02-2016 09:40,24-03-2016 18:50,11-03-2016 12:15,266.65,11,3,1,2016-02,1
INC0000129,New,0,0,0,true,Caller 5340,Opened by  180,Phone,Location 229,Category 23,Subcategory 75,Symptom 4,2 - Medium,2 - Medium,Group 70,Resolver 253,true,false,Do Not Notify,?,?,?,code 6,Resolved by 231,29-02-2016 09:40,29-02-2016 09:48,27-03-2016 13:59,22-03-2016 13:30,531.8333333,22,3,1,2016-02,1
INC0000130,New,0,0,2,true,Caller 314,Opened by  62,Phone,Location 204,Category 61,Subcategory 164,Symptom 470,2 - Medium,2 - Medium,Group 72,?,true,false,Do Not Notify,?,?,?,code 6,Resolved by 180,29-02-2016 09:41,29-02-2016 07:27,08-03-2016 11:00,03-03-2016 10:16,72.58333333,3,3,1,2016-02,1
INC0000131,Active,0,0,0,true,Caller 3763,Opened by  433,Phone,Location 15,Category 45,Subcategory 220,Symptom 580,2 - Medium,2 - Medium,Group 66,Resolver 175,true,false,Do Not Notify,?,?,?,code 2,Resolved by 184,29-02-2016 09:41,29-02-2016 07:14,08-03-2016 10:00,03-03-2016 09:27,71.76666667,2,3,1,2016-02,1
INC0000132,New,0,0,0,true,Caller 3957,Opened by  131,Phone,Location 204,Category 9,Subcategory 164,Symptom 580,2 - Medium,2 - Medium,Group 70,Resolver 135,true,false,Do Not Notify,?,?,?,code 6,Resolved by 121,29-02-2016 09:42,29-02-2016 09:50,08-03-2016 16:00,03-03-2016 15:18,77.6,3,3,1,2016-02,1
INC0000134,New,0,0,2,true,Caller 2471,Opened by  501,Phone,Location 204,Category 62,Subcategory 192,Symptom 580,3 - Low,3 - Low,Group 72,Resolver 216,true,false,Do Not Notify,?,?,?,code 8,Resolved by 180,29-02-2016 09:44,29-02-2016 07:55,08-03-2016 09:00,03-03-2016 08:21,70.61666667,2,4,1,2016-02,1
INC0000135,Active,0,0,7,true,Caller 5331,Opened by  40,Phone,Location 204,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,Group 70,Resolver 216,true,false,Do Not Notify,?,?,?,code 9,Resolved by 32,29-02-2016 09:45,29-02-2016 09:27,05-03-2016 17:00,29-02-2016 16:17,6.533333333,0,3,0,2016-02,1
INC0000137,New,0,0,1,true,Caller 899,Opened by  24,Phone,Location 51,Category 32,Subcategory 9,Symptom 470,2 - Medium,2 - Medium,Group 70,?,true,false,Do Not Notify,?,?,?,code 6,Resolved by 15,29-02-2016 09:48,29-02-2016 11:10,05-03-2016 12:00,29-02-2016 11:03,1.25,0,3,0,2016-02,1
INC0000139,New,0,0,0,true,Caller 3284,Opened by  131,Phone,Location 204,Category 53,Subcategory 303,Symptom 4,2 - Medium,2 - Medium,Group 70,?,true,false,Do Not Notify,?,?,?,code 6,Resolved by 208,29-02-2016 09:50,29-02-2016 10:16,06-03-2016 10:00,01-03-2016 09:56,24.1,1,3,1,2016-02,1
INC0000140,Active,0,0,0,true,Caller 3868,Opened by  180,Phone,Location 79,Category 9,Subcategory 164,Symptom 509,2 - Medium,2 - Medium,Group 70,Resolver 94,true,false,Do Not Notify,?,?,?,code 6,Resolved by 113,29-02-2016 09:51,29-02-2016 09:54,08-03-2016 12:00,03-03-2016 11:59,74.13333333,3,3,1,2016-02,1
INC0000141,Active,0,0,0,true,Caller 72,Opened by  40,Phone,Location 93,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,Group 54,?,true,false,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,29-02-2016 09:52,29-02-2016 09:54,07-03-2016 15:00,02-03-2016 14:58,53.1,2,3,1,2016-02,1
INC0000146,New,0,0,0,true,Caller 220,Opened by  24,Phone,Location 55,Category 53,Subcategory 194,Symptom 208,2 - Medium,2 - Medium,Group 54,?,true,false,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,29-02-2016 09:57,29-02-2016 10:02,07-03-2016 15:00,02-03-2016 14:59,53.03333333,2,3,1,2016-02,1
INC0000147,Active,0,0,0,true,Caller 926,Opened by  40,Phone,Location 179,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,Group 27,Resolver 125,true,false,Do Not Notify,Problem ID  2,?,?,code 5,Resolved by 113,29-02-2016 10:00,29-02-2016 10:08,19-03-2016 10:00,14-03-2016 09:49,335.8166667,13,3,1,2016-02,1
INC0000148,New,0,0,0,true,Caller 4279,Opened by  501,Phone,Location 93,Category 53,Subcategory 127,Symptom 470,2 - Medium,2 - Medium,Group 54,?,true,false,Do Not Notify,Problem ID  2,?,?,code 1,Resolved by 208,29-02-2016 10:00,29-02-2016 10:04,07-03-2016 16:00,02-03-2016 15:00,53,2,3,1,2016-02,1
INC0000149,New,0,0,0,true,Caller 4331,Opened by  62,Phone,Location 142,Category 53,Subcategory 127,Symptom 470,2 - Medium,2 - Medium,Group 54,?,true,false,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,29-02-2016 10:01,29-02-2016 10:06,07-03-2016 16:00,02-03-2016 15:01,53,2,3,1,2016-02,1
INC0000152,New,0,0,0,true,Caller 1913,Opened by  180,Phone,Location 51,Category 53,Subcategory 168,Symptom 4,2 - Medium,2 - Medium,Group 30,Resolver 201,true,false,Do Not Notify,?,?,?,code 6,Resolved by 183,29-02-2016 10:08,29-02-2016 10:16,08-03-2016 10:00,03-03-2016 09:23,71.25,2,3,1,2016-02,1
INC0000153,New,0,0,0,true,Caller 5150,Opened by  24,Phone,Location 108,Category 53,Subcategory 194,Symptom 208,2 - Medium,2 - Medium,Group 54,?,true,false,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,29-02-2016 10:10,29-02-2016 10:11,07-03-2016 15:00,02-03-2016 14:55,52.75,2,3,1,2016-02,1
INC0000155,New,0,0,0,true,Caller 278,Opened by  180,Phone,Location 171,Category 53,Subcategory 194,?,2 - Medium,2 - Medium,Group 54,?,true,false,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,29-02-2016 10:12,29-02-2016 10:13,07-03-2016 16:00,02-03-2016 15:02,52.83333333,2,3,1,2016-02,1
INC0000156,New,0,0,0,true,Caller 2811,Opened by  501,Phone,Location 93,Category 53,Subcategory 127,Symptom 470,2 - Medium,2 - Medium,Group 54,?,true,false,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,29-02-2016 10:14,29-02-2016 10:18,07-03-2016 16:00,02-03-2016 15:02,52.8,2,3,1,2016-02,1
INC0000158,New,0,0,0,true,Caller 229,Opened by  301,Phone,Location 56,Category 53,Subcategory 127,Symptom 470,2 - Medium,2 - Medium,Group 54,?,true,false,Do Not Notify,?,?,?,code 7,Resolved by 208,29-02-2016 10:17,29-02-2016 10:37,07-03-2016 16:00,02-03-2016 15:06,52.81666667,2,3,1,2016-02,1
INC0000159,New,0,0,0,true,Caller 3923,Opened by  180,Phone,Location 143,Category 24,Subcategory 164,Symptom 571,2 - Medium,2 - Medium,Group 70,?,true,false,Do Not Notify,?,?,?,code 6,Resolved by 215,29-02-2016 10:17,29-02-2016 10:22,07-03-2016 11:00,02-03-2016 10:09,47.86666667,1,3,1,2016-02,1
INC0000160,Resolved,0,0,0,true,Caller 4758,Opened by  40,Phone,Location 143,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,Group 70,Resolver 175,true,false,Do Not Notify,?,?,?,code 7,Resolved by 21,29-02-2016 10:18,29-02-2016 10:18,05-03-2016 11:00,05-03-2016 11:00,120.7,5,3,1,2016-02,1
INC0000161,New,0,0,0,true,Caller 3007,Opened by  180,Phone,Location 55,Category 37,Subcategory 135,Symptom 529,2 - Medium,2 - Medium,Group 70,Resolver 31,true,false,Do Not Notify,?,?,?,code 6,Resolved by 30,29-02-2016 10:18,29-02-2016 10:30,24-03-2016 18:40,08-03-2016 09:22,191.0666667,7,3,1,2016-02,1
INC0000164,New,0,0,3,true,Caller 3237,Opened by  131,Phone,Location 224,Category 32,Subcategory 9,Symptom 470,2 - Medium,2 - Medium,Group 70,?,true,false,Do Not Notify,Problem ID  2,?,?,code 11,Resolved by 175,29-02-2016 10:18,29-02-2016 08:53,08-03-2016 15:00,03-03-2016 14:34,76.26666667,3,3,1,2016-02,1
INC0000166,New,0,0,0,true,Caller 4098,Opened by  501,Phone,Location 108,Category 9,Subcategory 164,Symptom 117,2 - Medium,2 - Medium,Group 27,Resolver 170,true,false,Do Not Notify,?,?,?,code 6,Resolved by 153,29-02-2016 10:24,29-02-2016 10:28,05-03-2016 17:00,29-02-2016 16:24,6,0,3,0,2016-02,1
INC0000167,New,0,0,0,true,Caller 649,Opened by  24,Phone,Location 108,Category 20,Subcategory 125,?,2 - Medium,2 - Medium,Group 70,?,true,false,Do Not Notify,?,?,?,code 6,Resolved by 15,29-02-2016 10:27,29-02-2016 10:27,05-03-2016 12:00,29-02-2016 11:02,0.583333333,0,3,0,2016-02,1
INC0000168,New,0,0,0,true,Caller 4568,Opened by  131,Phone,Location 161,Category 9,Subcategory 164,Symptom 7,2 - Medium,2 - Medium,Group 24,Resolver 89,true,false,Do Not Notify,?,?,?,code 9,Resolved by 81,29-02-2016 10:27,29-02-2016 10:39,06-03-2016 10:00,01-03-2016 09:05,22.63333333,0,3,0,2016-02,1
