sys_mod_count,made_sla,caller_id,opened_by,contact_type,location,category,subcategory,u_symptom,impact,urgency,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,caused_by,closed_code,resolved_by,opened_at,resolution_time_hours,aging_days,priority,sla_breach_flag,created_month
0,True,Caller 3757,Opened by  131,Phone,Location 46,Category 9,Subcategory 164,Symptom 592,2 - Medium,2 - Medium,Group 70,Resolver 31,True,False,Do Not Notify,?,?,?,code 11,Resolved by 30,2016-02-29 08:11:00,193.7333333,8,3,1,2016-02
0,True,Caller 271,Opened by  180,Phone,Location 161,Category 9,Subcategory 164,Symptom 470,2 - Medium,2 - Medium,Group 24,Resolver 249,True,False,Do Not Notify,?,?,?,code 5,Resolved by 227,2016-02-29 08:12:00,26.43333333,1,3,1,2016-02
0,True,Caller 2519,Opened by  40,Phone,Location 42,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,Problem ID  2,?,?,code 11,Resolved by 208,2016-02-29 08:22:00,31.25,1,3,1,2016-02
0,True,Caller 527,Opened by  433,Phone,Location 204,Category 45,Subcategory 220,?,2 - Medium,2 - Medium,Group 66,Resolver 193,True,False,Do Not Notify,?,?,?,code 6,Resolved by 158,2016-02-29 08:23:00,1014.266667,42,3,1,2016-02
0,True,Caller 2949,Opened by  180,Phone,Location 93,Category 42,Subcategory 224,Symptom 470,2 - Medium,2 - Medium,Group 23,?,True,False,Do Not Notify,?,?,?,code 5,Resolved by 62,2016-02-29 08:25:00,8.033333333,0,3,0,2016-02
0,True,Caller 3304,Opened by  180,Phone,Location 108,Category 32,Subcategory 9,Symptom 470,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,?,?,?,code 6,Resolved by 85,2016-02-29 08:27:00,0.616666667,0,3,0,2016-02
0,True,Caller 2471,Opened by  180,Phone,Location 204,Category 8,Subcategory 291,Symptom 530,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,?,?,?,code 6,Resolved by 163,2016-02-29 08:32:00,2.8,0,3,0,2016-02
0,True,Caller 1194,Opened by  24,Phone,Location 229,Category 32,Subcategory 9,Symptom 4,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,?,?,?,code 6,Resolved by 15,2016-02-29 08:33:00,51.11666667,2,3,1,2016-02
0,True,Caller 4866,Opened by  131,Phone,Location 93,Category 24,Subcategory 164,Symptom 583,3 - Low,3 - Low,Group 70,?,True,False,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 62,2016-02-29 08:39:00,7.433333333,0,4,0,2016-02
0,True,Caller 3038,Opened by  433,Phone,Location 204,Category 45,Subcategory 220,Symptom 253,3 - Low,3 - Low,Group 66,Resolver 175,True,False,Do Not Notify,?,?,?,code 6,Resolved by 158,2016-02-29 08:39:00,1038.116667,43,4,1,2016-02
0,True,Caller 917,Opened by  180,Phone,Location 161,Category 20,Subcategory 125,Symptom 470,2 - Medium,2 - Medium,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,2016-02-29 08:41:00,54.05,2,3,1,2016-02
0,True,Caller 2403,Opened by  24,Phone,Location 93,Category 24,Subcategory 164,Symptom 471,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 62,2016-02-29 08:43:00,31.03333333,1,3,1,2016-02
0,True,Caller 950,Opened by  180,Phone,Location 69,Category 53,Subcategory 194,?,2 - Medium,2 - Medium,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,2016-02-29 08:47:00,53.98333333,2,3,1,2016-02
0,True,Caller 388,Opened by  180,Phone,Location 93,Category 42,Subcategory 224,Symptom 4,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,?,?,?,code 6,Resolved by 85,2016-02-29 08:48:00,0.283333333,0,3,0,2016-02
0,True,Caller 4907,Opened by  180,Phone,Location 108,Category 42,Subcategory 106,Symptom 2,2 - Medium,3 - Low,Group 68,Resolver 97,True,False,Do Not Notify,?,?,?,code 1,Resolved by 197,2016-02-29 08:51:00,77.73333333,3,4,1,2016-02
0,True,Caller 1811,Opened by  40,Phone,Location 172,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,Group 27,?,True,False,Do Not Notify,?,?,?,code 5,Resolved by 99,2016-02-29 08:55:00,167.8333333,6,3,1,2016-02
0,True,Caller 3545,Opened by  131,Phone,Location 93,Category 61,Subcategory 164,Symptom 580,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,?,?,?,code 7,Resolved by 66,2016-02-29 08:56:00,121.0666667,5,3,1,2016-02
0,True,Caller 387,Opened by  433,Phone,Location 204,Category 45,Subcategory 220,?,3 - Low,3 - Low,Group 66,Resolver 193,True,False,Do Not Notify,?,?,?,code 6,Resolved by 184,2016-02-29 08:58:00,241.7833333,10,4,1,2016-02
0,True,Caller 4043,Opened by  24,Phone,Location 108,Category 20,Subcategory 125,Symptom 471,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,2016-02-29 09:02:00,53.81666667,2,3,1,2016-02
0,True,Caller 5410,Opened by  180,Phone,Location 51,Category 24,Subcategory 164,Symptom 529,2 - Medium,2 - Medium,Group 70,Resolver 201,True,False,Do Not Notify,?,?,?,code 8,Resolved by 183,2016-02-29 09:03:00,24.03333333,1,3,1,2016-02
0,True,Caller 3082,Opened by  40,Phone,Location 161,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,2016-02-29 09:05:00,53.8,2,3,1,2016-02
0,True,Caller 1892,Opened by  180,Phone,Location 143,Category 42,Subcategory 224,Symptom 560,2 - Medium,3 - Low,Group 65,Resolver 180,True,False,Do Not Notify,?,?,?,code 6,Resolved by 163,2016-02-29 09:05:00,1.916666667,0,4,0,2016-02
0,True,Caller 307,Opened by  131,Phone,Location 46,Category 37,Subcategory 135,Symptom 87,2 - Medium,2 - Medium,Group 70,Resolver 31,True,False,Do Not Notify,?,?,?,code 4,Resolved by 30,2016-02-29 09:06:00,415.3666667,17,3,1,2016-02
0,True,Caller 4375,Opened by  180,Phone,Location 108,Category 53,Subcategory 194,?,2 - Medium,2 - Medium,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,2016-02-29 09:07:00,53.78333333,2,3,1,2016-02
0,True,Caller 5180,Opened by  180,Phone,Location 51,Category 26,Subcategory 175,Symptom 311,2 - Medium,2 - Medium,Group 70,Resolver 201,True,False,Do Not Notify,?,?,?,code 6,Resolved by 183,2016-02-29 09:08:00,26.78333333,1,3,1,2016-02
0,True,Caller 2949,Opened by  180,Phone,Location 93,Category 45,Subcategory 223,?,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,?,?,?,code 9,Resolved by 77,2016-02-29 09:10:00,2.8,0,3,0,2016-02
0,True,Caller 5540,Opened by  40,Phone,Location 108,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,2016-02-29 09:13:00,53.7,2,3,1,2016-02
0,True,Caller 4325,Opened by  180,Phone,Location 93,Category 53,Subcategory 130,Symptom 470,2 - Medium,2 - Medium,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,2016-02-29 09:14:00,53.7,2,3,1,2016-02
0,True,Caller 521,Opened by  131,Phone,Location 93,Category 37,Subcategory 135,Symptom 87,2 - Medium,2 - Medium,Group 70,Resolver 215,True,False,Do Not Notify,?,?,?,code 7,Resolved by 196,2016-02-29 09:15:00,53.96666667,2,3,1,2016-02
0,True,Caller 1658,Opened by  24,Phone,Location 204,Category 55,Subcategory 23,?,2 - Medium,2 - Medium,Group 25,Resolver 227,True,False,Do Not Notify,?,?,?,code 6,Resolved by 206,2016-02-29 09:18:00,58.2,2,3,1,2016-02
0,True,Caller 4554,Opened by  180,Phone,Location 161,Category 53,Subcategory 194,?,2 - Medium,2 - Medium,Group 54,?,True,False,Do Not Notify,?,?,?,code 7,Resolved by 174,2016-02-29 09:18:00,64.0,2,3,1,2016-02
0,True,Caller 5494,Opened by  131,Phone,Location 161,Category 9,Subcategory 164,Symptom 607,2 - Medium,2 - Medium,Group 70,Resolver 89,True,False,Do Not Notify,?,?,?,code 9,Resolved by 81,2016-02-29 09:20:00,23.5,0,3,0,2016-02
0,True,Caller 1488,Opened by  180,Phone,Location 108,Category 37,Subcategory 135,Symptom 529,2 - Medium,2 - Medium,Group 27,?,True,False,Do Not Notify,?,?,?,code 6,Resolved by 106,2016-02-29 09:20:00,26.7,1,3,1,2016-02
0,True,Caller 3842,Opened by  180,Phone,Location 161,Category 9,Subcategory 164,Symptom 471,2 - Medium,2 - Medium,Group 24,Resolver 89,True,False,Do Not Notify,?,?,?,code 9,Resolved by 81,2016-02-29 09:22:00,23.68333333,0,3,0,2016-02
0,True,Caller 1932,Opened by  40,Phone,Location 93,Category 53,Subcategory 271,Symptom 471,2 - Medium,2 - Medium,Group 23,?,True,False,Do Not Notify,?,?,?,code 7,Resolved by 62,2016-02-29 09:25:00,7.1,0,3,0,2016-02
0,True,Caller 3113,Opened by  24,Phone,Location 44,Category 45,Subcategory 47,Symptom 159,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,?,?,?,code 3,Resolved by 139,2016-02-29 09:27:00,31.38333333,1,3,1,2016-02
0,True,Caller 4428,Opened by  180,Phone,Location 108,Category 53,Subcategory 194,Symptom 470,2 - Medium,2 - Medium,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,2016-02-29 09:29:00,53.45,2,3,1,2016-02
0,True,Caller 4907,Opened by  40,Phone,Location 108,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,Group 33,Resolver 159,True,False,Do Not Notify,?,?,?,code 7,Resolved by 143,2016-02-29 09:30:00,1.583333333,0,3,0,2016-02
0,True,Caller 154,Opened by  131,Phone,Location 108,Category 9,Subcategory 164,Symptom 607,2 - Medium,2 - Medium,Group 70,Resolver 170,True,False,Do Not Notify,Problem ID  2,?,?,code 11,Resolved by 153,2016-02-29 09:31:00,23.01666667,0,3,0,2016-02
0,True,Caller 3754,Opened by  180,Phone,Location 142,Category 53,Subcategory 127,Symptom 470,2 - Medium,2 - Medium,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,2016-02-29 09:31:00,53.43333333,2,3,1,2016-02
0,True,Caller 4539,Opened by  131,Phone,Location 36,Category 44,Subcategory 54,Symptom 4,2 - Medium,2 - Medium,Group 12,Resolver 99,True,False,Do Not Notify,?,?,?,code 6,Resolved by 89,2016-02-29 09:36:00,266.65,11,3,1,2016-02
0,True,Caller 5340,Opened by  180,Phone,Location 229,Category 23,Subcategory 75,Symptom 4,2 - Medium,2 - Medium,Group 70,Resolver 253,True,False,Do Not Notify,?,?,?,code 6,Resolved by 231,2016-02-29 09:40:00,531.8333333,22,3,1,2016-02
2,True,Caller 314,Opened by  62,Phone,Location 204,Category 61,Subcategory 164,Symptom 470,2 - Medium,2 - Medium,Group 72,?,True,False,Do Not Notify,?,?,?,code 6,Resolved by 180,2016-02-29 09:41:00,72.58333333,3,3,1,2016-02
0,True,Caller 3763,Opened by  433,Phone,Location 15,Category 45,Subcategory 220,Symptom 580,2 - Medium,2 - Medium,Group 66,Resolver 175,True,False,Do Not Notify,?,?,?,code 2,Resolved by 184,2016-02-29 09:41:00,71.76666667,2,3,1,2016-02
0,True,Caller 3957,Opened by  131,Phone,Location 204,Category 9,Subcategory 164,Symptom 580,2 - Medium,2 - Medium,Group 70,Resolver 135,True,False,Do Not Notify,?,?,?,code 6,Resolved by 121,2016-02-29 09:42:00,77.6,3,3,1,2016-02
2,True,Caller 2471,Opened by  501,Phone,Location 204,Category 62,Subcategory 192,Symptom 580,3 - Low,3 - Low,Group 72,Resolver 216,True,False,Do Not Notify,?,?,?,code 8,Resolved by 180,2016-02-29 09:44:00,70.61666667,2,4,1,2016-02
7,True,Caller 5331,Opened by  40,Phone,Location 204,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,Group 70,Resolver 216,True,False,Do Not Notify,?,?,?,code 9,Resolved by 32,2016-02-29 09:45:00,6.533333333,0,3,0,2016-02
1,True,Caller 899,Opened by  24,Phone,Location 51,Category 32,Subcategory 9,Symptom 470,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,?,?,?,code 6,Resolved by 15,2016-02-29 09:48:00,1.25,0,3,0,2016-02
0,True,Caller 3284,Opened by  131,Phone,Location 204,Category 53,Subcategory 303,Symptom 4,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,?,?,?,code 6,Resolved by 208,2016-02-29 09:50:00,24.1,1,3,1,2016-02
0,True,Caller 3868,Opened by  180,Phone,Location 79,Category 9,Subcategory 164,Symptom 509,2 - Medium,2 - Medium,Group 70,Resolver 94,True,False,Do Not Notify,?,?,?,code 6,Resolved by 113,2016-02-29 09:51:00,74.13333333,3,3,1,2016-02
0,True,Caller 72,Opened by  40,Phone,Location 93,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,2016-02-29 09:52:00,53.1,2,3,1,2016-02
0,True,Caller 220,Opened by  24,Phone,Location 55,Category 53,Subcategory 194,Symptom 208,2 - Medium,2 - Medium,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,2016-02-29 09:57:00,53.03333333,2,3,1,2016-02
0,True,Caller 926,Opened by  40,Phone,Location 179,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,Group 27,Resolver 125,True,False,Do Not Notify,Problem ID  2,?,?,code 5,Resolved by 113,2016-02-29 10:00:00,335.8166667,13,3,1,2016-02
0,True,Caller 4279,Opened by  501,Phone,Location 93,Category 53,Subcategory 127,Symptom 470,2 - Medium,2 - Medium,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,code 1,Resolved by 208,2016-02-29 10:00:00,53.0,2,3,1,2016-02
0,True,Caller 4331,Opened by  62,Phone,Location 142,Category 53,Subcategory 127,Symptom 470,2 - Medium,2 - Medium,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,2016-02-29 10:01:00,53.0,2,3,1,2016-02
0,True,Caller 1913,Opened by  180,Phone,Location 51,Category 53,Subcategory 168,Symptom 4,2 - Medium,2 - Medium,Group 30,Resolver 201,True,False,Do Not Notify,?,?,?,code 6,Resolved by 183,2016-02-29 10:08:00,71.25,2,3,1,2016-02
0,True,Caller 5150,Opened by  24,Phone,Location 108,Category 53,Subcategory 194,Symptom 208,2 - Medium,2 - Medium,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,2016-02-29 10:10:00,52.75,2,3,1,2016-02
0,True,Caller 278,Opened by  180,Phone,Location 171,Category 53,Subcategory 194,?,2 - Medium,2 - Medium,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,2016-02-29 10:12:00,52.83333333,2,3,1,2016-02
0,True,Caller 2811,Opened by  501,Phone,Location 93,Category 53,Subcategory 127,Symptom 470,2 - Medium,2 - Medium,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,2016-02-29 10:14:00,52.8,2,3,1,2016-02
0,True,Caller 229,Opened by  301,Phone,Location 56,Category 53,Subcategory 127,Symptom 470,2 - Medium,2 - Medium,Group 54,?,True,False,Do Not Notify,?,?,?,code 7,Resolved by 208,2016-02-29 10:17:00,52.81666667,2,3,1,2016-02
0,True,Caller 3923,Opened by  180,Phone,Location 143,Category 24,Subcategory 164,Symptom 571,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,?,?,?,code 6,Resolved by 215,2016-02-29 10:17:00,47.86666667,1,3,1,2016-02
3,True,Caller 3237,Opened by  131,Phone,Location 224,Category 32,Subcategory 9,Symptom 470,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,Problem ID  2,?,?,code 11,Resolved by 175,2016-02-29 10:18:00,76.26666667,3,3,1,2016-02
0,True,Caller 4758,Opened by  40,Phone,Location 143,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,Group 70,Resolver 175,True,False,Do Not Notify,?,?,?,code 7,Resolved by 21,2016-02-29 10:18:00,120.7,5,3,1,2016-02
0,True,Caller 3007,Opened by  180,Phone,Location 55,Category 37,Subcategory 135,Symptom 529,2 - Medium,2 - Medium,Group 70,Resolver 31,True,False,Do Not Notify,?,?,?,code 6,Resolved by 30,2016-02-29 10:18:00,191.0666667,7,3,1,2016-02
0,True,Caller 4098,Opened by  501,Phone,Location 108,Category 9,Subcategory 164,Symptom 117,2 - Medium,2 - Medium,Group 27,Resolver 170,True,False,Do Not Notify,?,?,?,code 6,Resolved by 153,2016-02-29 10:24:00,6.0,0,3,0,2016-02
0,True,Caller 649,Opened by  24,Phone,Location 108,Category 20,Subcategory 125,?,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,?,?,?,code 6,Resolved by 15,2016-02-29 10:27:00,0.583333333,0,3,0,2016-02
0,True,Caller 4568,Opened by  131,Phone,Location 161,Category 9,Subcategory 164,Symptom 7,2 - Medium,2 - Medium,Group 24,Resolver 89,True,False,Do Not Notify,?,?,?,code 9,Resolved by 81,2016-02-29 10:27:00,22.63333333,0,3,0,2016-02
0,True,Caller 1805,Opened by  62,Phone,Location 108,Category 53,Subcategory 127,Symptom 470,2 - Medium,2 - Medium,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,2016-02-29 10:30:00,52.6,2,3,1,2016-02
0,True,Caller 3007,Opened by  180,Phone,Location 55,Category 24,Subcategory 164,Symptom 473,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,?,?,?,code 9,Resolved by 133,2016-02-29 10:33:00,435.1833333,18,3,1,2016-02
0,True,Caller 3117,Opened by  180,Phone,Location 224,Category 23,Subcategory 75,?,2 - Medium,2 - Medium,Group 70,Resolver 188,True,False,Do Not Notify,?,?,?,code 6,Resolved by 171,2016-02-29 10:36:00,7.8,0,3,0,2016-02
0,True,Caller 64,Opened by  4,Phone,Location 131,Category 55,Subcategory 120,Symptom 568,3 - Low,2 - Medium,Group 65,Resolver 4,True,False,Do Not Notify,?,?,?,code 1,Resolved by 3,2016-02-29 10:36:00,1012.216667,42,4,1,2016-02
0,True,Caller 4414,Opened by  131,Phone,Location 51,Category 32,Subcategory 9,Symptom 580,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,?,?,?,code 1,Resolved by 184,2016-02-29 10:39:00,50.36666667,2,3,1,2016-02
0,True,Caller 786,Opened by  501,Phone,Location 93,Category 53,Subcategory 127,Symptom 470,2 - Medium,2 - Medium,Group 54,?,True,False,Do Not Notify,?,?,?,code 7,Resolved by 208,2016-02-29 10:40:00,52.45,2,3,1,2016-02
0,True,Caller 1245,Opened by  180,Phone,Location 54,Category 20,Subcategory 103,Symptom 605,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,?,?,?,code 6,Resolved by 15,2016-02-29 10:45:00,1.166666667,0,3,0,2016-02
0,True,Caller 364,Opened by  40,Phone,Location 143,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,Group 28,Resolver 236,True,False,Do Not Notify,?,?,?,code 6,Resolved by 215,2016-02-29 10:46:00,46.56666667,1,3,1,2016-02
0,True,Caller 1590,Opened by  131,Phone,Location 143,Category 45,Subcategory 200,Symptom 4,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,?,?,?,code 7,Resolved by 66,2016-02-29 10:58:00,0.066666667,0,3,0,2016-02
0,True,Caller 1452,Opened by  62,Phone,Location 204,Category 37,Subcategory 135,Symptom 118,2 - Medium,2 - Medium,Group 70,Resolver 83,True,False,Do Not Notify,?,?,?,code 6,Resolved by 76,2016-02-29 10:59:00,29.06666667,1,3,1,2016-02
0,True,Caller 4323,Opened by  180,Phone,Location 93,Category 42,Subcategory 224,Symptom 4,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,?,?,?,code 6,Resolved by 85,2016-02-29 10:59:00,0.2,0,3,0,2016-02
0,True,Caller 952,Opened by  40,Phone,Location 136,Category 53,Subcategory 127,Symptom 470,2 - Medium,2 - Medium,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,code 10,Resolved by 208,2016-02-29 11:00:00,52.25,2,3,1,2016-02
0,True,Caller 203,Opened by  131,Phone,Location 108,Category 45,Subcategory 200,Symptom 609,2 - Medium,2 - Medium,Group 70,Resolver 170,True,False,Do Not Notify,?,?,?,code 9,Resolved by 153,2016-02-29 11:02:00,744.1833333,31,3,1,2016-02
0,True,Caller 4145,Opened by  301,Phone,Location 204,Category 42,Subcategory 106,Symptom 242,3 - Low,3 - Low,Group 70,Resolver 149,True,False,Do Not Notify,?,?,?,code 11,Resolved by 133,2016-02-29 11:06:00,120.9,5,4,1,2016-02
0,True,Caller 1878,Opened by  501,Phone,Location 93,Category 53,Subcategory 168,Symptom 470,3 - Low,3 - Low,Group 23,?,True,False,Do Not Notify,?,?,?,code 17,Resolved by 62,2016-02-29 11:13:00,5.5,0,4,0,2016-02
0,True,Caller 3772,Opened by  131,Phone,Location 204,Category 9,Subcategory 164,Symptom 232,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,?,?,?,code 6,Resolved by 24,2016-02-29 11:19:00,8.933333333,0,3,0,2016-02
0,True,Caller 803,Opened by  180,Phone,Location 93,Category 23,Subcategory 3,?,2 - Medium,2 - Medium,Group 70,Resolver 94,True,False,Do Not Notify,?,?,?,code 6,Resolved by 85,2016-02-29 11:23:00,67.38333333,2,3,1,2016-02
0,True,Caller 3459,Opened by  40,Phone,Location 2,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,?,?,?,code 7,Resolved by 21,2016-02-29 11:25:00,1.466666667,0,3,0,2016-02
0,True,Caller 220,Opened by  301,Phone,Location 55,Category 37,Subcategory 123,?,2 - Medium,2 - Medium,Group 70,Resolver 31,True,False,Do Not Notify,?,?,?,code 6,Resolved by 30,2016-02-29 11:48:00,189.65,7,3,1,2016-02
0,True,Caller 1969,Opened by  180,Phone,Location 93,Category 9,Subcategory 164,?,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,?,?,?,code 6,Resolved by 85,2016-02-29 11:53:00,1.716666667,0,3,0,2016-02
0,True,Caller 3342,Opened by  40,Phone,Location 40,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,Group 70,Resolver 69,True,False,Do Not Notify,?,?,?,code 6,Resolved by 62,2016-02-29 11:56:00,221.4666667,9,3,1,2016-02
0,True,Caller 2303,Opened by  131,Phone,Location 143,Category 61,Subcategory 16,Symptom 486,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,?,?,?,code 9,Resolved by 130,2016-02-29 11:58:00,50.13333333,2,3,1,2016-02
0,True,Caller 3342,Opened by  40,Phone,Location 40,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,Group 70,Resolver 176,True,False,Do Not Notify,?,?,?,code 1,Resolved by 159,2016-02-29 12:01:00,68.93333333,2,3,1,2016-02
0,True,Caller 197,Opened by  301,Phone,Location 70,Category 26,Subcategory 175,?,2 - Medium,2 - Medium,Group 27,Resolver 170,True,False,Do Not Notify,?,?,?,code 11,Resolved by 153,2016-02-29 12:11:00,3.95,0,3,0,2016-02
0,True,Caller 917,Opened by  55,Phone,Location 161,Category 55,Subcategory 270,Symptom 6,2 - Medium,2 - Medium,Group 34,Resolver 159,True,False,Do Not Notify,?,?,?,code 10,Resolved by 143,2016-02-29 12:14:00,170.9666667,7,3,1,2016-02
0,True,Caller 3032,Opened by  501,Phone,Location 143,Category 45,Subcategory 200,Symptom 470,3 - Low,3 - Low,Group 12,?,True,False,Do Not Notify,?,?,?,code 7,Resolved by 134,2016-02-29 12:20:00,297.05,12,4,1,2016-02
0,True,Caller 3640,Opened by  131,Phone,Location 108,Category 45,Subcategory 223,Symptom 470,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,?,?,?,code 7,Resolved by 66,2016-02-29 12:26:00,0.833333333,0,3,0,2016-02
0,True,Caller 2047,Opened by  62,Phone,Location 108,Category 45,Subcategory 200,Symptom 470,2 - Medium,2 - Medium,Group 70,Resolver 33,True,False,Do Not Notify,?,?,?,code 10,Resolved by 32,2016-02-29 12:27:00,25.61666667,1,3,1,2016-02
